,dataset,50_60
0,Sorteria-100SOC-cell1,0.5484848484848485
1,Sorteria-100SOC-cell2,0.32727272727272727
2,Soteria-SCC-90SOC-cell1,0.42121212121212126
3,Soteria-SCC-80SOC-cell1,0.6242424242424243
4,Soteria-SCC-60SOC-cell1,0.38787878787878793
5,Soteria-SCC-20SOC-5180mAh,0.5696969696969699
6,OE-LCO-6340mAh-0SOC,0.593939393939394
7,Soteria-SCC-5070-70SOC,0.6212121212121212
8,Soteria-SCC-4160mAh-100SOC-8mm,0.7272727272727271
9,Soteria-SCC-4720mAh-40SOC,0.7272727272727272
10,Soteria-SCC-4700mAh-100SOC-12mm,0.45454545454545453
11,Soteria-SCC-5050mAhr-100SOC,0.6333333333333334
12,Soteria-SCC-4870mah-0SOC,0.9878787878787879
13,Soteria-SCC-4630mAh-10SOC,0.581818181818182
14,Soteria-SCC-5080mAh-20SOC,0.6696969696969696
15,Soteria-SCC-5170mAh-60SOC,0.4575757575757577
16,OE-LFP10Ah-0SOC-cell9,0.7424242424242424
17,OE-LFP10Ah-0SOC-cell10,0.6878787878787878
18,OE-LFP10Ah-40SOC-cell7,0.6393939393939397
19,OE-LFP10Ah-70SOC-cell5,0.5151515151515152
20,OE-LFP10Ah-70SOC-cell6,0.6787878787878789
21,OE-LFP10Ah-100SOC-cell2,0.681818181818182
22,OE-LFP10Ah-80SOC-Cell15,0.7363636363636362
23,OE-LFP-cell14-60SOC-10Ah,0.5575757575757575
24,OE-LFP10Ah-60SOC,0.6454545454545456
25,500mAh1-20S0C,0.29696969696969694
26,500mAh1-40S0C,0.0
27,500mAh1-60S0C,0.0
28,500mAh1-80S0C,0.0
29,500mAh1-100S0C,0.0
30,500mAh2-20S0C,0.0
31,500mAh2-40S0C,0.0
32,500mAh2-60S0C,0.0
33,500mAh2-80S0C,0.0
34,500mAh2-100S0C,0.0
35,500mAh3-20S0C,0.0
36,500mAh3-40S0C,0.0
37,500mAh3-60S0C,0.0
38,500mAh3-80S0C,0.0
39,500mAh3-100S0C,0.0
40,2000mAh1-20S0C,0.0
41,2000mAh1-40S0C,0.0
42,2000mAh2-20S0C,0.0
43,2000mAh2-40S0C,0.0
44,1500mAh1-20S0C,0.0
45,1500mAh1-40S0C,0.0
46,1500mAh1-60S0C,0.0
47,1500mAh1-80S0C,0.0
48,1500mAh1-100S0C,0.0
49,1500mAh2-20S0C,0.0
50,1500mAh2-40S0C,0.0
51,1500mAh2-60S0C,0.0
52,1500mAh2-80S0C,0.0
53,1500mAh2-100S0C,0.0
54,1500mAh3-20S0C,0.0
55,1500mAh3-40S0C,0.0
56,1500mAh3-60S0C,0.0
57,1500mAh3-80S0C,0.0
58,1500mAh3-100S0C,0.0
59,OE-LFP10Ah-20SOC,0.0
60,Soteria-Control-0SOC-cell1,0.0
61,OE-LCO-6500mAh-20SOC,0.0
62,OE-LCO-6560mAh-0SOC,0.0
63,OE-LCO-6550mAh-20SOC,0.0
64,OE-LCO-6400mAh-20SOC,0.0
65,OE-LFP10Ah-40SOC-cell8,0.0
66,OE-LFP10Ah-80SOC-cell3,0.0
67,OE-LFP10Ah-80SOC-cell4,0.0
68,OE-LFP10Ah-100SOC-cell1,0.0
69,OE-LFP10Ah-100SOC-cell12,0.0
70,OE-10AHr-NMC-40SOC-Cell4,0.0
71,OE-10Ahr-NMC-0SOC-cell2,0.0
72,LFP10Ah-60SOC-Cell17,0.0
73,OE-LFP10Ah-80SOC-cell13,0.0
74,2000mAh1-60S0C,0.0
75,2000mAh1-80S0C,0.0
76,2000mAh1-100S0C,0.0
77,2000mAh2-60S0C,0.0
78,2000mAh2-80S0C,0.0
79,2000mAh2-100S0C,0.0
80,OE-NMC10Ah-20SOC,0.0
81,OE-NMC10Ah-20SOC-cell2,0.0
82,Soteria-Control-5030mAh-10SOC,0.0
83,Soteria-control-10SOC-cell1,0.0
84,OE-LCO-6490mAh-60SOC,0.0
85,OE-LCO-6270mAh-40SOC,0.0
86,OE-LCO-6500mAh-40SOC,0.0
87,Soteria-Control-50SOC,0.0
88,OE-10Ahr-NMC-40SOC-cell1,0.0
89,OE-10Ahr-NMC-0SOC-cell1,0.0
90,OE-NMC10Ah-45SOC,0.0
91,OE-NMC10Ah-45SOC-cell2,0.0
92,Soteria-Control-5120mAh-50SOC,0.0
93,Soteria-Control-5010mAh-20SOC,0.0
94,Sorteria-control-20SOC-cell1,0.0
95,Soteria-control-30SOC-cell2,0.0
96,Soteria-control-30SOC-cell1,0.0
97,Soetria-Control-45SOC-cell1,0.0
98,Sorteria-control-40SOC-cell2,0.0
99,OE-LCO-6470mAh-60SOC,0.0
100,Soteria-control-5100mAh-50SOC,0.0
101,Soteria-Control-5100mAh-55SOC,0.0
102,Sorteria-Control-100SOC-cell1,0.0
103,Sorteria-Control-100SOC-cell2,0.0
104,LCO-LP-6400mAh-100SOC-cell1,0.0
105,LCO-LP-6400mAh-100SOC-cell2,0.0
106,LCO-LP-6400mAh-80SOC-Cell3,0.0
107,LCO-LP6400mAh-80SOC-cell4,0.0
108,Soetria-80SOC-cell3,0.0
109,Sorteria-Control-60SOC-cell1,0.0
110,OE-10Ahr-NMC-70SOC-cell7,0.0
111,OE-10Ahr-NMC-80SOC-cell8,0.0
112,OE-10Ahr-NMC-80SOC-Cell9,0.0
113,OE-10Ahr-NMC-100SOC-cell10,0.0
114,OE-10Ahr-NMC-100SOC-cell11,0.0
115,OE-10Ahr-NMC-70SOC-cell6,0.0
116,OE-NMC10Ah-60SOC,0.0
117,OE-NMC10Ah-50SOC,0.0
